EventId,Disaster,Cost ($M),No. of Deaths,Duration,Start Day,Start Month,Start Year,End Day,End Month,End Year
Event001,Severe Storm,1345.8,13,2,14,2,1986,16,2,1986
Event002,Drought,4581.2,100,91,1,6,1986,31,8,1986
Event003,Drought,48009.2,454,91,1,6,1988,31,8,1988
Event004,Severe Storm,1268.5,21,5,1,5,1989,6,5,1989
Event005,Tropical Cyclone,20699.8,86,1,21,9,1989,22,9,1989
Event006,Drought,6907.3,0,182,1,6,1989,30,11,1989
Event007,Freeze,4600,10,2,23,12,1989,25,12,1989
Event008,Winter Storm,1564.3,100,5,21,12,1989,26,12,1989
Event009,Flooding,2195.1,13,8,11,5,1990,19,5,1990
Event010,Severe Storm,1787.7,0,0,11,7,1990,11,7,1990
Event011,Freeze,7412,0,7,18,12,1990,25,12,1990
Event012,Severe Storm,1328.6,0,3,26,3,1991,29,3,1991
Event013,Tropical Cyclone,3096.1,18,2,18,8,1991,20,8,1991
Event014,Drought,6197.5,0,183,1,3,1991,31,8,1991
Event015,Wildfire,6798,25,30,1,10,1991,31,10,1991
Event016,Severe Storm,1616.8,0,1,24,3,1992,25,3,1992
Event017,Severe Storm,1918.4,0,1,28,4,1992,29,4,1992
Event018,Severe Storm,1503.5,0,1,19,6,1992,20,6,1992
Event019,Tropical Cyclone,54270,61,4,23,8,1992,27,8,1992
Event020,Tropical Cyclone,6231,7,1,11,9,1992,12,9,1992
Event021,Severe Storm,1320.6,26,2,21,11,1992,23,11,1992
Event022,Winter Storm,4990.8,19,3,10,12,1992,13,12,1992
Event023,Winter Storm,10777.9,270,3,11,3,1993,14,3,1993
Event024,Severe Storm,1236.5,1,2,8,7,1993,10,7,1993
Event025,Flooding,40873.7,48,49,27,6,1993,15,8,1993
Event026,Drought,2453.2,16,91,1,6,1993,31,8,1993
Event027,Wildfire,2674.4,4,90,1,9,1993,30,11,1993
Event028,Winter Storm,1976.5,70,3,17,1,1994,20,1,1994
Event029,Winter Storm,5695.6,9,5,8,2,1994,13,2,1994
